date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:07	239048/239048	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:09	280922/280922	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:10	272064/272064	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:10	270471/270471	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:11	277483/277483	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:11	278111/278111	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:11	276792/276792	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:12	274958/274958	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:13	278782/278782	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:13	270467/270467	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
